Codigo;Municipio;Indice
5629;PRESIDENTE PRUDENTE;0,660002967
5630;PRESIDENTE VENCESLAU;0,063967586
5642;PROMISSÃO;0,060844209
7808;QUADRA;0,002201988
5654;QUATA;0,02757254
5666;QUEIROZ;0,002995512
5678;QUELUZ;0,016341422
5680;QUINTANA;0,010942966
5691;RAFARD;0,013117694
5708;RANCHARIA;0,02746916
5710;REDENÇÃO DA SERRA;0,004514418
5721;REGENTE FEIJO;0,041127528
5733;REGINOPOLIS;0,010551141
5745;REGISTRO;0,122409391
5757;RESTINGA;0,003285178
5769;RIBEIRA;0,003688334
5770;RIBEIRÃO BONITO;0,01630524
5782;RIBEIRÃO BRANCO;0,0093262
5794;RIBEIRÃO CORRENTE;0,000197661
5800;RIBEIRÃO DO SUL;0,00568399
7936;RIBEIRÃO DOS INDIOS;0,002574896
7584;RIBEIRÃO GRANDE;0,00653239
5812;RIBEIRÃO PIRES;0,282533953
5824;RIBEIRÃO PRETO;1,150002967
5848;RIFAINA;0,003710146
5850;RINÇÃO;0,019075908
5861;RINOPOLIS;0,015335845
5873;RIO CLARO;0,408243457
5885;RIO DAS PEDRAS;0,064237917
5897;RIO GRANDE DA SERRA;0,07821516
5903;RIOLANDIA;0,007416903
5836;RIVERSUL;0,007623379
7304;ROSANA;0,006925191
5915;ROSEIRA;0,01653666
5927;RUBIACEA;0,003823054
5939;RUBINEIA;0,004140335
5940;SABINO;0,009496976
5952;SAGRES;0,003012735
5964;SALES;0,008117657
5976;SALES OLIVEIRA;0,000530954
5988;SALESOPOLIS;0,028270814
5990;SALMOURÃO;0,003829355
7596;SALTINHO;0,019918213
6002;SALTO;0,230002967
6026;SALTO DE PIRAPORA;0,071793759
6014;SALTO GRANDE;0,013812401
6038;SANDOVALINA;0,005912505
6040;SANTA ADELIA;0,030213096
6051;SANTA ALBERTINA;0,006552367
6063;SANTA BARBARA D'OESTE;0,201784579
6087;SANTA BRANCA;0,024857567
6099;SANTA CLARA D'OESTE;0,003274694
6105;SANTA CRUZ DA CONCEIÇÃO;0,007333332
7810;SANTA CRUZ DA ESPERANCA;0,000147617
6117;SANTA CRUZ DAS PALMEIRAS;0,040244981
6129;SANTA CRUZ DO RIO PARDO;0,114148426
6130;SANTA ENERSTINA;0,004632251
6142;SANTA FE DO SUL;0,067229337
6154;SANTA GERTRUDES;0,047225615
6166;SANTA ISABEL;0,111178715
6178;SANTA LUCIA;0,009466148
6180;SANTA MARIA DA SERRA;0,009951397
6191;SANTA MERCEDES;0,004039761
6210;SANTA RITA DO PASSA QUATRO;0,054841141
6208;SANTA RITA D'OESTE;0,003982913
6221;SANTA ROSA DE VITERBO;0,036362138
7821;SANTA SALETE;0,002120512
6245;SANTANA DA PONTE PENSA;0,001662021
6233;SANTANA DO PARNAIBA;0,3363111
6257;SANTO ANASTACIO;0,030315107
6269;SANTO ANDRE;1,360002967
6270;SANTO ANTONIO DA ALEGRIA;0,000266658
6300;SANTO ANTONIO DE POSSE;0,041059704
7602;SANTO ANTONIO DO ARACANGUA;0,005023957
6282;SANTO ANTONIO DO JARDIM;0,006284438
6294;SANTO ANTONIO DO PINHAL;0,013568564
6312;SANTO EXPEDITO;0,003993869
6324;SANTOPOLIS DO AGUAPEI;0,005409376
6336;SANTOS;1,260002967
6348;SÃO BENTO DE SAPUCAI;0,017225138
6350;SÃO BERNADO DO CAMPO;1,600002967
6361;SÃO CAETANO DO SUL;0,579628645
6373;SÃO CARLOS;0,345985807
6385;SÃO FRANCISCO;0,003796031
6397;SÃO JOÃO DA BOA VISTA;0,17824183
6403;SÃO JOÃO DAS DUAS PONTES;0,003797551
7614;SÃO JOÃO DE IRACEMA;0,002660583
6415;SÃO JOÃO DO PAU D'ALHO;0,00336836
6427;SÃO JOAQUIM DA BARRA;0,00465183
6440;SÃO JOSE DA BELA VISTA;0,004144223
6439;SÃO JOSE DO BARREIRO;0,005899146
6464;SÃO JOSE DO RIO PARDO;0,102821788
6476;SÃO JOSE DO RIO PRETO;0,780002967
6452;SÃO JOSE DOS CAMPOS;1,100002967
7729;SÃO LOURENCO DA SERRA;0,027434067
6488;SÃO LUIZ DE PARAITINGA;0,014862936
6490;SÃO MANUEL;0,063494052
