Codigo;Municipio;Indice
4704;NARANDIBA;0,005298784
4716;NATIVIDADE DA SERRA;0,004593006
4728;NAZARE PAULISTA;0,025080191
4730;NEVES PAULISTA;0,010193944
4741;NHANDEARA;0,009888469
4753;NIPOÃ;0,008218773
4765;NOVA ALIANCA;0,005045102
7717;NOVA CAMPINA;0,007775971
7523;NOVA CANAÃ PAULISTA;0,00257415
7900;NOVA CASTILHO;0,001917208
4777;NOVA EUROPA;0,011448166
4789;NOVA GRANADA;0,025060453
4790;NOVA GUATAPORANGA;0,002887529
4807;NOVA INDEPENDENCIA;0,004386276
4819;NOVA LUZITANIA;0,004664504
4820;NOVA ODESSA;0,113479112
7535;NOVAIS;0,003247949
4832;NOVO HORIZONTE;0,078601897
4844;NUPORANGA;0,000464563
4856;OCAUCU;0,006928031
4868;OLEO;0,00376247
4870;OLIMPIA;0,117775274
4881;ONDA VERDE;0,004608773
4893;ORIENTE;0,011253982
4900;ORINDIUVA;0,012157794
4911;ORLANDIA;0,004066791
4923;OSASCO;1,3531369
4935;OSCAR BRESSANE;0,005087717
4947;OSVALDO CRUZ;0,07330435
4959;OURINHOS;0,244739644
4960;OURO VERDE;0,009928884
7912;OUROESTE;0,018222469
4972;PACAEMBU;0,021908244
4984;PALESTINA;0,013333334
4996;PALMARES PAULISTA;0,01165868
5009;PALMEIRA D'OESTE;0,015645296
5010;PALMITAL;0,047736886
5022;PANORAMA;0,02178322
5034;PARAGUACU PAULISTA;0,088223952
5046;PARAIBUNA;0,027038571
5058;PARAISO;0,01237138
5060;PARANAPANEMA;0,025538542
5083;PARANAPUÃ;0,006778493
5095;PARAPUÃ;0,019829887
5071;PARDINHO;0,010853853
5101;PARIQUERA-ACU;0,031736074
7547;PARISI;0,003456073
5113;PATROCINIO PAULISTA;0,012206158
5125;PAULICEIA;0,008756865
5137;PAULINIA;0,21538427
7924;PAULISTANIA;0,002077225
5149;PAULO DE FARIA;0,016279152
5150;PEDERNEIRAS;0,086027934
5162;PEDRA BELA;0,006871945
5174;PEDRANOPOLIS;0,003753658
5186;PEDREGULHO;0,012421583
5198;PEDREIRA;0,118620269
7559;PEDRINHAS PAULISTA;0,008566833
5204;PEDRO DE TOLEDO;0,012838495
5216;PENAPOLIS;0,126908139
5228;PEREIRA BARRETO;0,036287482
5230;PEREIRAS;0,01020588
5241;PERUIBE;0,181391629
5253;PIACATU;0,008220506
5265;PIEDADE;0,088356029
5277;PILAR DO SUL;0,048457872
5289;PINDAMONHANGABA;0,156770393
5290;PINDORAMA;0,030481073
5319;PINHALZINHO;0,024785019
5320;PIQUEROBI;0,002704758
5332;PIQUETE;0,022135071
5344;PIRACAIA;0,053995441
5356;PIRACICABA;0,859216401
5370;PIRAJU;0,031434024
5381;PIRAJUI;0,046051395
5393;PIRANGI;0,025116073
5400;PIRAPORA DO BOM JESUS;0,02805949
5411;PIRAPOZINHO;0,044010321
5368;PIRASSUNUNGA;0,168869255
5423;PIRATININGA;0,027263592
5435;PITANGUEIRAS;0,040448361
5447;PLANALTO;8,77455E-05
5459;PLATINA;0,00452581
5460;POA;0,229203714
5472;POLONI;0,011249184
5484;POMPEIA;0,049106174
5496;PONGAI;0,006838372
5502;PONTAL;0,044769742
7560;PONTALINDA;0,004482389
5514;PONTES GESTAL;0,00593847
5526;POPULINA;0,007427458
5538;PORANGABA;0,01234459
5540;PORTO FELIZ;0,10813725
5551;PORTO FERREIRA;0,121645291
7572;POTIM;0,016613506
5563;POTIRENDABA;0,027052609
7780;PRACINHA;0,002292037
5575;PRADOPOLIS;0,028949384
5587;PRAIA GRANDE;0,53018632
7791;PRATANIA;0,004894967
5599;PRESIDENTE ALVES;0,005695925
5605;PRESIDENTE BERNADES;0,025016194
5617;PRESIDENTE EPITACIO;0,070173963
5629;PRESIDENTE PRUDENTE;0,66405907
5630;PRESIDENTE VENCESLAU;0,065497438
5642;PROMISSÃO;0,062302636
7808;QUADRA;0,002254907
5654;QUATA;0,028233529
5666;QUEIROZ;0,003067451
5678;QUELUZ;0,016733229
5680;QUINTANA;0,011205386
5691;RAFARD;0,013432236
5708;RANCHARIA;0,028127671
5710;REDENÇÃO DA SERRA;0,004622761
5721;REGENTE FEIJO;0,042113395
5733;REGINOPOLIS;0,010804169
5745;REGISTRO;0,125343381
5757;RESTINGA;0,00336406
5769;RIBEIRA;0,003776878
5770;RIBEIRÃO BONITO;0,016696179
5782;RIBEIRÃO BRANCO;0,00954987
5794;RIBEIRÃO CORRENTE;0,000202542
5800;RIBEIRÃO DO SUL;0,005820365
7936;RIBEIRÃO DOS INDIOS;0,002636753
7584;RIBEIRÃO GRANDE;0,006689099
5812;RIBEIRÃO PIRES;0,288888243
5824;RIBEIRÃO PRETO;1,118788941
5848;RIFAINA;0,003799213
5850;RINÇÃO;0,019533253
5861;RINOPOLIS;0,015703551
5873;RIO CLARO;0,418022637
5885;RIO DAS PEDRAS;0,065684475
5897;RIO GRANDE DA SERRA;0,080089925
5903;RIOLANDIA;0,007594812
5836;RIVERSUL;0,007806236
7304;ROSANA;0,007091314
5915;ROSEIRA;0,016933146
5927;RUBIACEA;0,003914827
5939;RUBINEIA;0,004239712
5940;SABINO;0,009724739
5952;SAGRES;0,003085086
5964;SALES;0,00831236
5976;SALES OLIVEIRA;0,000543823
5988;SALESOPOLIS;0,028948538
5990;SALMOURÃO;0,003921279
7596;SALTINHO;0,0203906
6002;SALTO;0,225163908
6026;SALTO DE PIRAPORA;0,073180787
6014;SALTO GRANDE;0,014143594
6038;SANDOVALINA;0,006054357
6040;SANTA ADELIA;0,030937372
6051;SANTA ALBERTINA;0,006709555
6063;SANTA BARBARA D'OESTE;0,206620993
6087;SANTA BRANCA;0,025453484
6099;SANTA CLARA D'OESTE;0,003353324
6105;SANTA CRUZ DA CONCEIÇÃO;0,007509238
7810;SANTA CRUZ DA ESPERANCA;0,000151299
6117;SANTA CRUZ DAS PALMEIRAS;0,041209696
6129;SANTA CRUZ DO RIO PARDO;0,116884421
6130;SANTA ENERSTINA;0,004743418
6142;SANTA FE DO SUL;0,068840799
6154;SANTA GERTRUDES;0,048357638
6166;SANTA ISABEL;0,113843534
6178;SANTA LUCIA;0,009693171
6180;SANTA MARIA DA SERRA;0,010190051
6191;SANTA MERCEDES;0,004136728
6210;SANTA RITA DO PASSA QUATRO;0,056155689
6208;SANTA RITA D'OESTE;0,004078517
6221;SANTA ROSA DE VITERBO;0,037233791
7821;SANTA SALETE;0,00217148
6245;SANTANA DA PONTE PENSA;0,001701999
6233;SANTANA DO PARNAIBA;0,344371777
6257;SANTO ANASTACIO;0,031041828
6269;SANTO ANDRE;1,320399165
6270;SANTO ANTONIO DA ALEGRIA;0,000273193
6300;SANTO ANTONIO DE POSSE;0,042043946
7602;SANTO ANTONIO DO ARACANGUA;0,005144512
6282;SANTO ANTONIO DO JARDIM;0,006435204
6294;SANTO ANTONIO DO PINHAL;0,013893912
6312;SANTO EXPEDITO;0,004089736
6324;SANTOPOLIS DO AGUAPEI;0,005539169
6336;SANTOS;1,250883337
6348;SÃO BENTO DE SAPUCAI;0,017638125
6350;SÃO BERNADO DO CAMPO;1,566234526
6361;SÃO CAETANO DO SUL;0,587316037
6373;SÃO CARLOS;0,354275643
6385;SÃO FRANCISCO;0,003887156
6397;SÃO JOÃO DA BOA VISTA;0,182513983
6403;SÃO JOÃO DAS DUAS PONTES;0,003888712
7614;SÃO JOÃO DE IRACEMA;0,002724495
6415;SÃO JOÃO DO PAU D'ALHO;0,003449235
6427;SÃO JOAQUIM DA BARRA;0,004763467
6440;SÃO JOSE DA BELA VISTA;0,004243694
6439;SÃO JOSE DO BARREIRO;0,006040678
6464;SÃO JOSE DO RIO PARDO;0,105286312
6476;SÃO JOSE DO RIO PRETO;0,781231636
6452;SÃO JOSE DOS CAMPOS;1,104583395
7729;SÃO LOURENCO DA SERRA;0,028091737
6488;SÃO LUIZ DE PARAITINGA;0,015219307
6490;SÃO MANUEL;0,065015989
6506;SÃO MIGUEL ARCANJO;0,048204012
1004;SÃO PAULO;42,43946055
6518;SÃO PEDRO;0,088947496
6520;SÃO PEDRO DO TURVO;0,009649884
6531;SÃO ROQUE;0,207670277
6543;SÃO SEBASTIÃO;0,127814609
6555;SÃO SEBASTIÃO DA GRAMA;0,013385557
6567;SÃO SIMÃO;0,027376661
6579;SÃO VICENTE;0,535374632
6580;SARAPUI;0,013063784
6592;SARUTAIA;0,004582793
6609;SEBASTIANOPOLIS DO SUL;0,007446395
6610;SERRA AZUL;0,006933411
6622;SERRA NEGRA;0,085668726
6634;SERRANA;0,054366249
6646;SERTÃOZINHO;0,132655639
6658;SETE BARRAS;0,016431002
6660;SEVERINIA;0,009592412
6671;SILVEIRAS;0,007186516
6683;SOCORRO;0,075770211
6695;SOROCABA;1,195383831
6701;SUD MENNUCCI;0,005509819
6713;SUMARE;0,21576261
7626;SUZANAPOLIS;0,003630141
6725;SUZANO;0,499783433
6737;TABAPUÃ;0,015853827
6749;TABATINGA;0,021128154
6750;TABOAO DA SERRA;1,005742518
6762;TACIBA;0,008041101
6774;TAGUAI;0,015808519
6786;TAIACU;0,003952324
6798;TAIUVA;0,006775728
6804;TAMBAU;0,03298434
6816;TANABI;0,037697287
6828;TAPIRAI;0,012247561
6830;TAPIRATIBA;0,012800369
7857;TAQUARAL;0,003709512
6841;TAQUARITINGA;0,10958156
6853;TAQUARITUBA;0,041565753
7638;TAQUARIVAI;0,006634623
6865;TARABAI;0,008446264
7316;TARUMA;0,025482544
6877;TATUI;0,271533432
6889;TAUBATE;0,449832699
6890;TEJUPA;0,003820616
6907;TEODORO SAMPAIO;0,030485324
6919;TERRA ROXA;0,00817562
6920;TIETE;0,12086699
6932;TIMBURI;0,003445602
7730;TORRE DE PEDRA;0,002811162
6944;TORRINHA;0,021552335
7948;TRABIJU;0,003180447
6956;TREMEMBE;0,069926939
6968;TRES FRONTEIRAS;0,008786806
7640;TUIUTI;0,007412371
6970;TUPÃ;0,085007671
6981;TUPI PAULISTA;0,013438387
6993;TURIUBA;0,003910892
7006;TURMALINA;0,003209071
7651;UBARANA;0,002714024
7018;UBATUBA;0,20229414
7020;UBIRAJARA;0,007544591
7031;UCHOA;0,01262497
7043;UNIÃO PAULISTA;0,002586267
7055;URANIA;0,014813605
7067;URU;0,002598551
7079;URUPES;0,0196044
7092;VALETIM GENTIL;0,011725718
7080;VALINHOS;0,362174272
7109;VALPARAISO;0,034728803
7663;VARGEM;0,011906215
7110;VARGEM GRANDE DO SUL;0,063775551
7201;VARGEM GRANDE PAULISTA;0,116127108
7122;VARZEA PAULISTA;0,216836371
7134;VERA CURZ;0,021408281
7146;VINHEDO;0,238096797
7158;VIRADOURO;0,02108908
7160;VISTA ALEGRE DO ALTO;0,014264538
7833;VITORIA BRASIL;0,002304663
7171;VOTORANTIM;0,178983475
7183;VOTUPORANGA;0,203288214
7742;ZACARIAS;0,004300006
